rank,file,passed,overall_score,arm_overall_score,arm_imperative_quality,arm_weak_phrase_quality,arm_optionality_quality,arm_continuance_quality,arm_directive_quality,arm_incomplete_quality,arm_ambiguity_quality,completeness_metric,structure_compliance_metric,clarity_metric,weak_phrase_metric,optionality_metric,atomicity_metric,consistency_metric,verifiability_metric,requirement_uniqueness_metric,requirement_id_coverage_metric,readability_metric,requirement_density_metric,ieee_section_coverage,fr_coverage,nfr_coverage,clarity_readability,ambiguity_quality,extraction_cleanliness,content_adequacy,duplication_quality,heading_structure,numeric_specificity,lexical_richness
1,final_extracted_srs_ieee830\final_extracted_srs_ieee830\100_SpecBot.txt,True,1.0,0.994,1.0,0.966,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,0.997,1.0,1.0,1.0,0.828,1.0,1.0,1.0,0.5,0.667,0.8,0.66,1.0,0.999,0.973,0.65,0.973,0.8,0.4,1.0
2,final_extracted_srs_ieee830\final_extracted_srs_ieee830\101_VerseCraft.txt,True,1.0,0.91,1.0,0.438,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,0.998,1.0,0.938,1.0,0.812,1.0,1.0,1.0,0.75,0.667,0.8,0.59,0.988,1.0,0.943,0.45,0.962,0.8,0.6,1.0
3,final_extracted_srs_ieee830\final_extracted_srs_ieee830\102_ImpairAssist_Research.txt,True,1.0,0.983,1.0,0.944,1.0,1.0,1.0,1.0,0.944,0.667,0.8,0.996,0.991,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.667,0.7,0.59,1.0,0.996,1.0,0.45,0.962,0.8,0.8,1.0
4,final_extracted_srs_ieee830\final_extracted_srs_ieee830\103_AIFDS(AI Fashion Design Studio).txt,True,1.0,0.959,0.893,0.964,0.964,1.0,1.0,1.0,0.964,0.667,0.8,0.999,0.99,1.0,1.0,1.0,0.643,1.0,0.964,1.0,0.5,0.667,0.8,0.59,1.0,0.999,0.93,0.65,0.972,0.8,1.0,1.0
5,final_extracted_srs_ieee830\final_extracted_srs_ieee830\105_CommPulse.txt,True,1.0,0.984,1.0,0.953,0.93,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.997,1.0,1.0,1.0,0.814,0.999,1.0,1.0,0.25,0.667,0.7,0.72,1.0,0.998,0.976,0.65,0.976,0.8,0.8,1.0
6,final_extracted_srs_ieee830\final_extracted_srs_ieee830\106_CrimeSight.txt,True,1.0,0.912,0.686,0.943,0.971,1.0,1.0,1.0,1.0,0.667,0.8,0.996,0.999,1.0,1.0,1.0,0.771,1.0,1.0,1.0,0.5,0.667,0.7,0.59,1.0,0.996,0.987,0.65,0.975,0.8,0.6,1.0
7,final_extracted_srs_ieee830\final_extracted_srs_ieee830\106_ScholarChain.txt,True,1.0,0.891,0.727,0.727,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.99,1.0,1.0,1.0,1.0,0.773,1.0,0.955,1.0,0.5,0.667,0.8,0.59,0.979,0.99,0.967,0.45,0.967,0.8,0.75,1.0
8,final_extracted_srs_ieee830\final_extracted_srs_ieee830\107_Napalm.txt,True,1.0,0.939,1.0,0.652,0.957,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.997,1.0,1.0,1.0,0.913,1.0,1.0,1.0,0.5,0.667,0.7,0.65,1.0,0.997,0.955,0.45,0.97,0.8,1.0,1.0
9,final_extracted_srs_ieee830\final_extracted_srs_ieee830\108_EDA(Enhanced Driver Assist).txt,True,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.667,0.8,0.998,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.667,0.7,0.66,1.0,0.998,1.0,0.45,0.967,0.8,1.0,1.0
10,final_extracted_srs_ieee830\final_extracted_srs_ieee830\109_RideMatch.txt,True,1.0,0.856,0.438,1.0,1.0,1.0,1.0,1.0,0.938,0.667,0.8,0.979,1.0,1.0,1.0,1.0,0.812,1.0,1.0,1.0,0.75,0.667,0.8,0.59,1.0,0.979,1.0,0.45,0.967,0.8,0.75,1.0
11,final_extracted_srs_ieee830\final_extracted_srs_ieee830\10_IoTAnomalyDetect.txt,True,1.0,0.851,0.377,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.623,1.0,0.981,1.0,0.25,0.667,0.7,0.65,0.994,1.0,0.989,0.65,0.978,0.8,1.0,1.0
12,final_extracted_srs_ieee830\final_extracted_srs_ieee830\110_LeafSpec.txt,True,1.0,0.93,0.833,0.933,0.967,1.0,1.0,1.0,0.9,0.667,0.8,0.996,0.997,1.0,0.967,1.0,0.667,1.0,1.0,1.0,0.5,0.667,0.8,0.59,1.0,0.996,1.0,0.65,0.972,0.8,1.0,1.0
13,final_extracted_srs_ieee830\final_extracted_srs_ieee830\111_BlackGate.txt,True,1.0,0.967,0.94,0.92,1.0,1.0,1.0,1.0,0.96,0.667,0.8,0.991,0.997,1.0,1.0,1.0,0.72,1.0,0.98,1.0,0.25,0.667,0.7,0.72,1.0,0.991,0.99,0.65,0.979,0.8,0.444,1.0
